Function,ncalls,tottime,percall,cumtime,percall
         123711 function calls (115622 primitive calls) in 0.803 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        8    0.000    0.000    0.002    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\arrays\categorical.py:3007(<genexpr>)
        4    0.000    0.000    0.002    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\arrays\categorical.py:2945(factorize_from_iterable)
        6    0.000    0.000    0.002    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\series.py:486(_init_dict)
        4    0.000    0.000    0.001    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\arrays\categorical.py:368(__init__)
        1    0.000    0.000    0.001    0.001 C:\Users\benoi\vocabulary\src\interro.py:48(get_arguments)
        1    0.000    0.000    0.001    0.001 C:\Users\benoi\vocabulary\src\interro.py:29(parse_arguments)
        3    0.000    0.000    0.001    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\internals\concat.py:176(concatenate_managers)
        7    0.000    0.000    0.001    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\internals\managers.py:689(reindex_indexer)
     6969    0.001    0.000    0.001    0.000 {method 'sub' of 're.Pattern' objects}
       42    0.000    0.000    0.001    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\internals\blocks.py:941(setitem)
        3    0.000    0.000    0.001    0.000 {built-in method builtins.exec}
       34    0.000    0.000    0.001    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\dtypes\missing.py:268(_isna_array)
      101    0.000    0.000    0.001    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\frame.py:4257(_box_col_values)
        8    0.000    0.000    0.001    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\io\common.py:112(close)
      4/2    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
        9    0.000    0.000    0.001    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\series.py:6257(_arith_method)
        9    0.000    0.000    0.001    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\base.py:1316(_arith_method)
       24    0.000    0.000    0.001    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\dtypes\missing.py:309(_isna_string_dtype)
        7    0.000    0.000    0.001    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\frame.py:4139(_set_item_mgr)
        1    0.000    0.000    0.001    0.001 C:\Users\benoi\anaconda3\lib\site-packages\zstandard\__init__.py:7(<module>)
     1942    0.000    0.000    0.001    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\dtypes\generic.py:45(_instancecheck)
        8    0.001    0.000    0.001    0.000 {method 'close' of '_io.TextIOWrapper' objects}
        4    0.000    0.000    0.001    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\io\common.py:132(__exit__)
       69    0.001    0.000    0.001    0.000 {pandas._libs.lib.maybe_convert_objects}
